id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,99248.0,1967110999653,1,1967114375670,57557323008,100702.0,96512.0,2294.44,2.36654,44555390059,2.31751,19810853.0,19810887.0,21000000.0,108135.0,-8.13589,2024-12-17T15:02:41.429Z,67.81,146395.27538,2013-07-06T00:00:00.000Z,,2025-01-16T10:44:42.927Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3336.65,402291604498,2,402291604498,27435382675,3470.77,3188.24,127.02,3.95734,15540309281,4.01817,120498748.6814879,120498748.6814879,,4878.26,-31.53898,2021-11-10T14:24:19.604Z,0.432979,771232.54136,2015-10-20T00:00:00.000Z,"{'times': 43.94297539751876, 'currency': 'btc', 'percentage': 4394.297539751876}",2025-01-16T10:44:33.492Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,3.09,177771636732,3,309163851976,19500075922,3.18,2.73,0.269929,9.56598,15141705869,9.31053,57493120449.0,99986673391.0,100000000000.0,3.4,-8.96004,2018-01-07T00:00:00.000Z,0.00268621,115079.06213,2014-05-22T00:00:00.000Z,,2025-01-16T10:44:26.025Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999741,137414956892,4,137414956892,54483409107,1.0,0.999441,0.00016977,0.01698,226555721,0.16514,137450564334.501,137450564334.501,,1.32,-24.43924,2018-07-24T00:00:00.000Z,0.572521,74.62082,2015-03-02T00:00:00.000Z,,2025-01-16T10:44:30.941Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,709.53,103564845944,5,103564845944,1047930939,715.83,689.17,16.33,2.35521,2344622955,2.31636,145887575.79,145887575.79,200000000.0,788.84,-9.99121,2024-12-04T10:35:25.220Z,0.0398177,1783098.62159,2017-10-19T00:00:00.000Z,,2025-01-16T10:44:42.249Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,201.09,97457209668,6,119133327883,5077417369,206.17,186.09,13.66,7.28869,6601979691,7.26648,484504289.5707131,592266170.8304644,,263.21,-23.56566,2024-11-23T15:05:59.896Z,0.500801,40071.77183,2020-05-11T19:35:23.449Z,,2025-01-16T10:44:27.973Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.375297,55412792366,7,55426731099,4359322655,0.387706,0.349007,0.02032325,5.72529,3015674249,5.75542,147608616383.7052,147645746383.7052,,0.731578,-48.65213,2021-05-08T05:08:23.458Z,8.69e-05,432159.54917,2015-05-06T00:00:00.000Z,,2025-01-16T10:44:31.619Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999876,46208088316,8,46208128744,11937652651,1.0,0.999837,-0.000116487705769996,-0.01165,486623079,1.06432,46215352222.53732,46215392657.72417,,1.17,-14.73991,2019-05-08T00:40:28.300Z,0.877647,13.92402,2023-03-11T08:02:13.981Z,,2025-01-16T10:44:32.468Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,1.042,37426026754,9,46951385616,1976922143,1.085,0.995319,0.02489151,2.44779,880436549,2.40915,35870532505.74256,45000000000.0,45000000000.0,3.09,-66.16087,2021-09-02T06:00:10.474Z,0.01925275,5325.63468,2020-03-13T02:22:55.044Z,,2025-01-16T10:44:45.793Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3334.19,32049390514,10,32050024097,44482899,3465.77,3186.91,126.81,3.95363,1237493318,4.01628,9610075.222529711,9610265.203832127,,4829.57,-30.94545,2021-11-10T14:40:47.256Z,482.9,590.63254,2020-12-22T04:08:21.854Z,,2025-01-16T10:44:28.186Z
